Name,Duration,Start,ResourceNames,Predecessors
Proje Başlangıcı,1d,2025-07-16,Proje Yöneticisi,
Genel Hazırlık ve İnceleme,2d,,Proje Yöneticisi;Kontrol Mühendisi,1FS
Malzeme Tedariki,3d,,Tedarik Uzmanı,2FS

Tüm Mahaller Mevcut Durum İncelemesi,,,,,
Salon Mevcut Durum İncelemesi,1d,,Salon Ekip1 Lideri;Salon Ekip2 Lideri;Salon Ekip3 Lideri,3FS
Fuaye Mevcut Durum İncelemesi,1d,,Fuaye Ekip1 Lideri;Fuaye Ekip2 Lideri,3FS
Spor Salonları Mevcut Durum İncelemesi,1d,,Spor Ekip1 Lideri;Spor Ekip2 Lideri;Spor Ekip3 Lideri,3FS
Localar Mevcut Durum İncelemesi,1d,,Loca Ekip1 Lideri;Loca Ekip2 Lideri,3FS
Teknik Ofisler Mevcut Durum İncelemesi,1d,,Teknik Ekip1 Lideri;Teknik Ekip2 Lideri,3FS

Tüm Mahaller Kesim ve Demontaj (Eşzamanlı),,,,,
Salon Kesim ve Demontaj,5d,,Salon Ekip1 Üye1;Salon Ekip1 Üye2;Salon Ekip2 Üye1;Salon Ekip2 Üye2;Salon Ekip3 Üye1;Salon Ekip3 Üye2,4FS
Fuaye Kesim ve Demontaj,3d,,Fuaye Ekip1 Üye1;Fuaye Ekip1 Üye2;Fuaye Ekip2 Üye1;Fuaye Ekip2 Üye2,5FS
Spor Salonları Kesim ve Demontaj,6d,,Spor Ekip1 Üye1;Spor Ekip1 Üye2;Spor Ekip2 Üye1;Spor Ekip2 Üye2;Spor Ekip3 Üye1;Spor Ekip3 Üye2,6FS
Localar Kesim ve Demontaj,2d,,Loca Ekip1 Üye1;Loca Ekip1 Üye2;Loca Ekip2 Üye1;Loca Ekip2 Üye2,7FS
Teknik Ofisler Kesim ve Demontaj,2d,,Teknik Ekip1 Üye1;Teknik Ekip1 Üye2;Teknik Ekip2 Üye1;Teknik Ekip2 Üye2,8FS

Tüm Çelik Elemanların İmalatı (Merkezi - Eşzamanlı),,,,,
Salon Çelik Elemanların İmalatı,7d,,Salon Ekip1 Üye1;Salon Ekip1 Üye2;Salon Ekip2 Üye1;Salon Ekip2 Üye2,9FS
Fuaye Çelik Elemanların İmalatı,4d,,Fuaye Ekip1 Üye1;Fuaye Ekip1 Üye2;Fuaye Ekip2 Üye1;Fuaye Ekip2 Üye2,10FS
Spor Salonları Çelik Elemanların İmalatı,8d,,Spor Ekip1 Üye1;Spor Ekip1 Üye2;Spor Ekip2 Üye1;Spor Ekip2 Üye2,11FS
Localar Çelik Elemanların İmalatı,3d,,Loca Ekip1 Üye1;Loca Ekip1 Üye2;Loca Ekip2 Üye1;Loca Ekip2 Üye2,12FS
Teknik Ofisler Çelik Elemanların İmalatı,3d,,Teknik Ekip1 Üye1;Teknik Ekip1 Üye2;Teknik Ekip2 Üye1;Teknik Ekip2 Üye2,13FS

Tüm Mahaller Montaj İşlemleri (Eşzamanlı),,,,,
Salon Montaj İşlemleri,6d,,Salon Ekip1 Üye1;Salon Ekip1 Üye2;Salon Ekip2 Üye1;Salon Ekip2 Üye2;Salon Ekip3 Üye1;Salon Ekip3 Üye2,14FS
Fuaye Montaj İşlemleri,3d,,Fuaye Ekip1 Üye1;Fuaye Ekip1 Üye2;Fuaye Ekip2 Üye1;Fuaye Ekip2 Üye2,15FS
Spor Salonları Montaj İşlemleri,7d,,Spor Ekip1 Üye1;Spor Ekip1 Üye2;Spor Ekip2 Üye1;Spor Ekip2 Üye2;Spor Ekip3 Üye1;Spor Ekip3 Üye2,16FS
Localar Montaj İşlemleri,2d,,Loca Ekip1 Üye1;Loca Ekip1 Üye2;Loca Ekip2 Üye1;Loca Ekip2 Üye2,17FS
Teknik Ofisler Montaj İşlemleri,2d,,Teknik Ekip1 Üye1;Teknik Ekip1 Üye2;Teknik Ekip2 Üye1;Teknik Ekip2 Üye2,18FS

Tüm Mahaller Kaynak İşlemleri (Eşzamanlı),,,,,
Salon Kaynak İşlemleri,4d,,Salon Ekip1 Üye1;Salon Ekip2 Üye1;Salon Ekip3 Üye1,19FS
Fuaye Kaynak İşlemleri,2d,,Fuaye Ekip1 Üye1;Fuaye Ekip2 Üye1,20FS
Spor Salonları Kaynak İşlemleri,4d,,Spor Ekip1 Üye1;Spor Ekip2 Üye1;Spor Ekip3 Üye1,21FS
Localar Kaynak İşlemleri,2d,,Loca Ekip1 Üye1;Loca Ekip2 Üye1,22FS
Teknik Ofisler Kaynak İşlemleri,2d,,Teknik Ekip1 Üye1;Teknik Ekip2 Üye1,23FS

Tüm Mahaller Kalite Kontrol (Eşzamanlı),,,,,
Salon Kalite Kontrol,1d,,Kontrol Mühendisi;Salon Ekip1 Lideri,24FS
Fuaye Kalite Kontrol,1d,,Kontrol Mühendisi;Fuaye Ekip1 Lideri,25FS
Spor Salonları Kalite Kontrol,1d,,Kontrol Mühendisi;Spor Ekip1 Lideri,26FS
Localar Kalite Kontrol,1d,,Kontrol Mühendisi;Loca Ekip1 Lideri,27FS
Teknik Ofisler Kalite Kontrol,1d,,Kontrol Mühendisi;Teknik Ekip1 Lideri,28FS

Genel Bitiş İşlemleri,,,,,
Genel Yüzey Temizliği ve Boya,5d,,Boya Ekibi1;Boya Ekibi2,29;30;31;32;33FS
Genel Kalite Kontrol ve Kabul,2d,,Kontrol Mühendisi;Proje Yöneticisi,34FS
Proje Teslimi ve Kapanışı,1d,,Proje Yöneticisi,35FS
